LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,450,500,600,Publicidade (Panfletos / Redes Sociais),Indicação,Valor da mensalidade adequado,Promoção,200,300,400,300
Cidade,Rio Pomba,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,200,500,350,500,Indicação,Valor da mensalidade adequado,Promoção,Indicação,300,250,350,300
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,450,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,350,350,450
Área Rural,Rio Pomba,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,200,350,300,400,Indicação,Indicação,Indicação,Indicação,150,100,250,300
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,350,500,450,600,Indicação,Valor da mensalidade adequado,Indicação,Indicação,300,250,400,350
Área Rural,Mercês,Roteador desconfigurado,Falta de energia no local,Falta de energia no local,Falta de pagamento da mensalidade,350,450,500,600,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,250,400,450
Cidade,Rio Pomba,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,500,500,600,Promoção,Promoção,Valor da mensalidade adequado,Indicação,200,300,400,450
Área Rural,Tabuleiro,Cabo de internet arrebentado,Cabo de internet arrebentado,Falta de energia no local,Cabo de internet arrebentado,350,450,500,400,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,200,300,400,350
Cidade,Silveirânia,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,350,450,350,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),350,100,300,350
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,200,450,350,500,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),200,350,400,350
Cidade,Mercês,Roteador desconfigurado,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,200,450,450,600,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,200,250,350,300
Área Rural,Silveirânia,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,450,500,450,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,150,250,350,350
Cidade,Mercês,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,450,400,450,600,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),150,250,350,400
Área Rural,Tabuleiro,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,450,400,450,600,Indicação,Indicação,Valor da mensalidade adequado,Promoção,200,300,300,350
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,200,350,300,400,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),200,100,300,300
Área Rural,Silveirânia,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,350,350,350,500,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),200,250,350,300
Cidade,Ubá,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,200,500,350,500,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,Indicação,150,250,350,300
Cidade,Silveirânia,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,200,400,450,600,Indicação,Promoção,Valor da mensalidade adequado,Indicação,150,250,350,300
Área Rural,Tabuleiro,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,350,450,300,450,Promoção,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Promoção,150,250,300,300
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,200,400,450,450,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),200,300,400,400
Cidade,Tabuleiro,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,Falta de energia no local,350,450,500,500,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,250,350,300
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,350,450,500,450,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,150,100,250,300
Cidade,Silveirânia,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,200,400,450,600,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,150,250,350,300
Área Rural,Mercês,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,200,500,500,500,Promoção,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,200,300,400,300
Cidade,Mercês,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,200,400,450,600,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,150,250,350,400
Área Rural,Ubá,Cabo de internet arrebentado,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,300,450,Promoção,Valor da mensalidade adequado,Indicação,Promoção,200,100,300,300
Cidade,Silveirânia,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,350,450,500,600,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,300,100,300,300
Área Rural,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,200,500,450,600,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,150,100,400,300
Cidade,Ubá,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,450,450,500,600,Valor da mensalidade adequado,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),350,300,250,300
Cidade,Ubá,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Roteador desconfigurado,200,350,450,400,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,350,250,400
Área Rural,Ubá,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,350,500,600,Indicação,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,200,250,350,400
Cidade,Mercês,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,200,400,450,600,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,150,100,300,300
Cidade,Silveirânia,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,200,350,350,450,Valor da mensalidade adequado,Promoção,Indicação,Indicação,150,100,250,400
Área Rural,Rio Pomba,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,300,450,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,250,300,350
Cidade,Tabuleiro,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,450,500,500,600,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,300,300,350,350
Área Rural,Ubá,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,200,400,500,500,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,Valor da mensalidade adequado,200,350,400,400
Área Rural,Ubá,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,450,450,500,Valor da mensalidade adequado,Indicação,Indicação,Indicação,150,300,350,300
Cidade,Mercês,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,350,500,500,600,Indicação,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),200,350,350,450
